9: nome_desti, 4: nome_orige
9: Boquira, 4: Ibipitanga
9: Pedro Afonso, 4: Bom Jesus do Tocantins
9: Rolim de Moura, 4: Novo Horizonte do Oeste
9: Porto Nacional, 4: Santa Rosa do Tocantins
9: Bacabal, 4: Bela Vista do Maranh?o
9: Bacabal, 4: Bom Lugar
9: Bacabal, 4: Brejo de Areia
9: Bacabal, 4: Concei??o do Lago-A?u
9: Bacabal, 4: Lago da Pedra
9: Bacabal, 4: Lago Verde
9: Bacabal, 4: Olho d'?gua das Cunh?s
9: Bacabal, 4: Pio XII
9: Bacabal, 4: S?o Lu?s Gonzaga do Maranh?o
9: Rolim de Moura, 4: Castanheiras
9: Bacabal, 4: Vitorino Freire
9: Balsas, 4: Alto Parna?ba
9: Balsas, 4: Feira Nova do Maranh?o
9: Balsas, 4: Fortaleza dos Nogueiras
9: Balsas, 4: Loreto
9: Balsas, 4: Nova Colinas
9: Eirunep?, 4: Envira
9: Balsas, 4: Riach?o
9: Balsas, 4: Samba?ba
9: Balsas, 4: S?o F?lix de Balsas
9: Balsas, 4: S?o Raimundo das Mangabeiras
9: Rolim de Moura, 4: Parecis
9: Balsas, 4: Tasso Fragoso
9: Barra do Corda, 4: Fernando Falc?o
9: Barra do Corda, 4: Itaipava do Graja?
9: Barra do Corda, 4: Jenipapo dos Vieiras
9: Barra do Corda, 4: S?o Raimundo do Doca Bezerra
9: Barra do Corda, 4: Fernando Falc?o
9: Barra do Corda, 4: Itaipava do Graja?
9: Barra do Corda, 4: Jenipapo dos Vieiras
9: Barra do Corda, 4: S?o Raimundo do Doca Bezerra
9: Caxias, 4: Aldeias Altas
9: Concei??o do Araguaia, 4: Santa Maria das Barreiras
9: Caxias, 4: Buriti Bravo
9: Caxias, 4: Cod?
9: Caxias, 4: Coelho Neto
9: Caxias, 4: S?o Jo?o do Soter
9: Caic?, 4: Ouro Branco
9: Caxias, 4: Senador Alexandre Costa
9: Caxias, 4: Aldeias Altas
9: Caxias, 4: Buriti Bravo
9: Caxias, 4: Cod?
9: Caxias, 4: Coelho Neto
9: Caxias, 4: S?o Jo?o do Soter
9: Concei??o do Araguaia, 4: Couto de Magalh?es
9: Caxias, 4: Senador Alexandre Costa
9: Chapadinha, 4: Anapurus
9: Chapadinha, 4: Bel?gua
9: Chapadinha, 4: Brejo
9: Chapadinha, 4: Mata Roma
9: Chapadinha, 4: S?o Benedito do Rio Preto
9: Imperatriz, 4: Dom Eliseu
9: Imperatriz, 4: Araguatins
9: Imperatriz, 4: Itaguatins
9: Imperatriz, 4: S?o Miguel do Tocantins
9: Reden??o, 4: Bannach
9: Imperatriz, 4: S?tio Novo do Tocantins
9: Imperatriz, 4: A?ail?ndia
9: Imperatriz, 4: Amarante do Maranh?o
9: Imperatriz, 4: Balsas
9: Imperatriz, 4: Buriticupu
9: Imperatriz, 4: Buritirana
9: Imperatriz, 4: Campestre do Maranh?o
9: Imperatriz, 4: Cidel?ndia
9: Imperatriz, 4: Davin?polis
9: Imperatriz, 4: Estreito
9: Reden??o, 4: Concei??o do Araguaia
9: Imperatriz, 4: Governador Edison Lob?o
9: Imperatriz, 4: Graja?
9: Imperatriz, 4: Jo?o Lisboa
9: Imperatriz, 4: Lajeado Novo
9: Imperatriz, 4: Montes Altos
9: Imperatriz, 4: Porto Franco
9: Imperatriz, 4: Ribamar Fiquene
9: Imperatriz, 4: S?o Francisco do Brej?o
9: Imperatriz, 4: S?o Jo?o do Para?so
9: Imperatriz, 4: S?o Pedro da ?gua Branca
9: Reden??o, 4: Cumaru do Norte
9: Imperatriz, 4: Senador La Rocque
9: Caic?, 4: Parelhas
9: Imperatriz, 4: S?tio Novo
9: Imperatriz, 4: Vila Nova dos Mart?rios
9: Pedreiras, 4: Bernardo do Mearim
9: Pedreiras, 4: Capinzal do Norte
9: Pedreiras, 4: Esperantin?polis
9: Pedreiras, 4: Igarap? Grande
9: Pedreiras, 4: Josel?ndia
9: Pedreiras, 4: Lago do Junco
9: Pedreiras, 4: Lima Campos
9: Reden??o, 4: Floresta do Araguaia
9: Pedreiras, 4: Po??o de Pedras
9: Pedreiras, 4: Santo Ant?nio dos Lopes
9: Pedreiras, 4: S?o Raimundo do Doca Bezerra
9: Pedreiras, 4: Trizidela do Vale
9: Pinheiro, 4: Bequim?o
9: Pinheiro, 4: Centro Novo do Maranh?o
9: Pinheiro, 4: Cururupu
9: Pinheiro, 4: Governador Nunes Freire
9: Pinheiro, 4: Matinha
9: Pinheiro, 4: Palmeir?ndia
9: Caic?, 4: S?o Fernando
9: Reden??o, 4: Pau d'Arco
9: Pinheiro, 4: Pedro do Ros?rio
9: Pinheiro, 4: Peri Mirim
9: Pinheiro, 4: Presidente Sarney
9: Pinheiro, 4: Santa Helena
9: Pinheiro, 4: Turia?u
9: Presidente Dutra, 4: Colinas
9: Presidente Dutra, 4: Dom Pedro
9: Presidente Dutra, 4: Governador Archer
9: Presidente Dutra, 4: Governador Eug?nio Barros
9: Presidente Dutra, 4: Governador Luiz Rocha
9: Alto Parna?ba, 4: Santa Filomena
9: Reden??o, 4: Rio Maria
9: Presidente Dutra, 4: Gra?a Aranha
9: Presidente Dutra, 4: Santa Filomena do Maranh?o
9: Presidente Dutra, 4: S?o Domingos do Maranh?o
9: Presidente Dutra, 4: S?o Jos? dos Bas?lios
9: Presidente Dutra, 4: Senador Alexandre Costa
9: Presidente Dutra, 4: Tuntum
9: Presidente Juscelino, 4: Cachoeira Grande
9: Santa In?s, 4: Alto Alegre do Pindar?
9: Santa In?s, 4: Bom Jardim
9: Santa In?s, 4: Igarap? do Meio
9: Reden??o, 4: Santana do Araguaia
9: Santa In?s, 4: Mon??o
9: Santa In?s, 4: Pindar?-Mirim
9: Santa In?s, 4: Santa Luzia
9: Santa In?s, 4: Santa Luzia do Paru?
9: Santa In?s, 4: S?o Jo?o do Car?
9: Santa In?s, 4: Tufil?ndia
9: Santa In?s, 4: Vit?ria do Mearim
9: S?o Bento, 4: Bacurituba
9: S?o Bento, 4: Cajapi?
9: S?o Jo?o dos Patos, 4: Lagoa do Mato
9: Reden??o, 4: Tucum?
9: S?o Jo?o dos Patos, 4: Nova Iorque
9: S?o Jo?o dos Patos, 4: Paraibano
9: S?o Jo?o dos Patos, 4: Passagem Franca
9: S?o Jo?o dos Patos, 4: Pastos Bons
9: S?o Jo?o dos Patos, 4: Sucupira do Riach?o
9: Viana, 4: Cajari
9: Viana, 4: Olinda Nova do Maranh?o
9: Z? Doca, 4: Araguan?
9: Z? Doca, 4: Governador Newton Bello
9: Z? Doca, 4: Presidente M?dici
9: Reden??o, 4: Xinguara
